wave,date,country_code,context,issue,pct
EB101.3,2024-04-01,AL,cntry,environment,2
EB102.2,2024-10-01,AL,cntry,environment,1
EB103.3,2025-03-01,AL,cntry,environment,1
EB104.1,2025-10-01,AL,cntry,environment,1
EB105.2,2026-03-01,AL,cntry,environment,3
EB101.3,2024-04-01,AT,cntry,environment,23
EB102.2,2024-10-01,AT,cntry,environment,16
EB103.3,2025-03-01,AT,cntry,environment,13
EB104.1,2025-10-01,AT,cntry,environment,10
EB105.2,2026-03-01,AT,cntry,environment,10
EB101.3,2024-04-01,BA,cntry,environment,3
EB102.2,2024-10-01,BA,cntry,environment,6
EB103.3,2025-03-01,BA,cntry,environment,6
EB104.1,2025-10-01,BA,cntry,environment,6
EB105.2,2026-03-01,BA,cntry,environment,5
EB101.3,2024-04-01,BE,cntry,environment,17
EB102.2,2024-10-01,BE,cntry,environment,15
EB103.3,2025-03-01,BE,cntry,environment,9
EB104.1,2025-10-01,BE,cntry,environment,8
EB105.2,2026-03-01,BE,cntry,environment,5
EB101.3,2024-04-01,BG,cntry,environment,5
EB102.2,2024-10-01,BG,cntry,environment,5
EB103.3,2025-03-01,BG,cntry,environment,7.000000000000001
EB104.1,2025-10-01,BG,cntry,environment,9
EB105.2,2026-03-01,BG,cntry,environment,3
EB101.3,2024-04-01,CY,cntry,environment,3
EB102.2,2024-10-01,CY,cntry,environment,4
EB103.3,2025-03-01,CY,cntry,environment,4
EB104.1,2025-10-01,CY,cntry,environment,4
EB105.2,2026-03-01,CY,cntry,environment,3
EB101.3,2024-04-01,CY(TCC),cntry,environment,3
EB102.2,2024-10-01,CY(TCC),cntry,environment,2
EB103.3,2025-03-01,CY_TCC,cntry,environment,6
EB104.1,2025-10-01,CY_TCC,cntry,environment,2
EB105.2,2026-03-01,CY_TCC,cntry,environment,4
EB101.3,2024-04-01,CZ,cntry,environment,8
EB102.2,2024-10-01,CZ,cntry,environment,6
EB103.3,2025-03-01,CZ,cntry,environment,3
EB104.1,2025-10-01,CZ,cntry,environment,5
EB105.2,2026-03-01,CZ,cntry,environment,4
EB101.3,2024-04-01,D-E,cntry,environment,11
EB102.2,2024-10-01,D-E,cntry,environment,8
EB101.3,2024-04-01,D-W,cntry,environment,20
EB102.2,2024-10-01,D-W,cntry,environment,15
EB101.3,2024-04-01,DE,cntry,environment,18
EB102.2,2024-10-01,DE,cntry,environment,13
EB103.3,2025-03-01,DE,cntry,environment,11
EB104.1,2025-10-01,DE,cntry,environment,9
EB105.2,2026-03-01,DE,cntry,environment,8
EB101.3,2024-04-01,DK,cntry,environment,47
EB102.2,2024-10-01,DK,cntry,environment,50
EB103.3,2025-03-01,DK,cntry,environment,22
EB104.1,2025-10-01,DK,cntry,environment,21
EB105.2,2026-03-01,DK,cntry,environment,27
EB101.3,2024-04-01,EE,cntry,environment,3
EB102.2,2024-10-01,EE,cntry,environment,3
EB103.3,2025-03-01,EE,cntry,environment,2
EB104.1,2025-10-01,EE,cntry,environment,3
EB105.2,2026-03-01,EE,cntry,environment,2
EB101.3,2024-04-01,EL,cntry,environment,6
EB102.2,2024-10-01,EL,cntry,environment,6
EB103.3,2025-03-01,EL,cntry,environment,4
EB104.1,2025-10-01,EL,cntry,environment,3
EB105.2,2026-03-01,EL,cntry,environment,3
EB101.3,2024-04-01,ES,cntry,environment,8
EB102.2,2024-10-01,ES,cntry,environment,5
EB103.3,2025-03-01,ES,cntry,environment,3
EB104.1,2025-10-01,ES,cntry,environment,3
EB105.2,2026-03-01,ES,cntry,environment,2
EB101.3,2024-04-01,EU,cntry,environment,14.000000000000002
EB102.2,2024-10-01,EU,cntry,environment,12
EB103.3,2025-03-01,EU,cntry,environment,9
EB104.1,2025-10-01,EU,cntry,environment,8
EB105.2,2026-03-01,EU,cntry,environment,7.000000000000001
EB101.3,2024-04-01,FI,cntry,environment,17
EB102.2,2024-10-01,FI,cntry,environment,19
EB103.3,2025-03-01,FI,cntry,environment,11
EB104.1,2025-10-01,FI,cntry,environment,8
EB105.2,2026-03-01,FI,cntry,environment,7.000000000000001
EB101.3,2024-04-01,FR,cntry,environment,12
EB102.2,2024-10-01,FR,cntry,environment,13
EB103.3,2025-03-01,FR,cntry,environment,9
EB104.1,2025-10-01,FR,cntry,environment,6
EB105.2,2026-03-01,FR,cntry,environment,6
EB101.3,2024-04-01,GE,cntry,environment,4
EB102.2,2024-10-01,GE,cntry,environment,3
EB103.3,2025-03-01,GE,cntry,environment,5
EB104.1,2025-10-01,GE,cntry,environment,4
EB105.2,2026-03-01,GE,cntry,environment,6
EB101.3,2024-04-01,HR,cntry,environment,10
EB102.2,2024-10-01,HR,cntry,environment,7.000000000000001
EB103.3,2025-03-01,HR,cntry,environment,6
EB104.1,2025-10-01,HR,cntry,environment,6
EB105.2,2026-03-01,HR,cntry,environment,4
EB101.3,2024-04-01,HU,cntry,environment,8
EB102.2,2024-10-01,HU,cntry,environment,7.000000000000001
EB103.3,2025-03-01,HU,cntry,environment,5
EB104.1,2025-10-01,HU,cntry,environment,6
EB105.2,2026-03-01,HU,cntry,environment,3
EB101.3,2024-04-01,IE,cntry,environment,9
EB102.2,2024-10-01,IE,cntry,environment,7.000000000000001
EB103.3,2025-03-01,IE,cntry,environment,6
EB104.1,2025-10-01,IE,cntry,environment,4
EB105.2,2026-03-01,IE,cntry,environment,4
EB101.3,2024-04-01,IT,cntry,environment,11
EB102.2,2024-10-01,IT,cntry,environment,11
EB103.3,2025-03-01,IT,cntry,environment,9
EB104.1,2025-10-01,IT,cntry,environment,8
EB105.2,2026-03-01,IT,cntry,environment,8
EB101.3,2024-04-01,LT,cntry,environment,5
EB102.2,2024-10-01,LT,cntry,environment,4
EB103.3,2025-03-01,LT,cntry,environment,2
EB104.1,2025-10-01,LT,cntry,environment,1
EB105.2,2026-03-01,LT,cntry,environment,2
EB101.3,2024-04-01,LU,cntry,environment,10
EB102.2,2024-10-01,LU,cntry,environment,10
EB103.3,2025-03-01,LU,cntry,environment,6
EB104.1,2025-10-01,LU,cntry,environment,6
EB105.2,2026-03-01,LU,cntry,environment,5
EB101.3,2024-04-01,LV,cntry,environment,3
EB102.2,2024-10-01,LV,cntry,environment,1
EB103.3,2025-03-01,LV,cntry,environment,1
EB104.1,2025-10-01,LV,cntry,environment,1
EB105.2,2026-03-01,LV,cntry,environment,1
EB101.3,2024-04-01,MD,cntry,environment,2
EB102.2,2024-10-01,MD,cntry,environment,2
EB103.3,2025-03-01,MD,cntry,environment,4
EB104.1,2025-10-01,MD,cntry,environment,4
EB105.2,2026-03-01,MD,cntry,environment,2
EB101.3,2024-04-01,ME,cntry,environment,8
EB102.2,2024-10-01,ME,cntry,environment,14.000000000000002
EB103.3,2025-03-01,ME,cntry,environment,8
EB104.1,2025-10-01,ME,cntry,environment,2
EB105.2,2026-03-01,ME,cntry,environment,11
EB101.3,2024-04-01,MK,cntry,environment,3
EB102.2,2024-10-01,MK,cntry,environment,4
EB103.3,2025-03-01,MK,cntry,environment,5
EB104.1,2025-10-01,MK,cntry,environment,4
EB105.2,2026-03-01,MK,cntry,environment,3
EB101.3,2024-04-01,MT,cntry,environment,25
EB102.2,2024-10-01,MT,cntry,environment,21
EB103.3,2025-03-01,MT,cntry,environment,18
EB104.1,2025-10-01,MT,cntry,environment,26
EB105.2,2026-03-01,MT,cntry,environment,14.000000000000002
EB101.3,2024-04-01,NL,cntry,environment,36
EB102.2,2024-10-01,NL,cntry,environment,36
EB103.3,2025-03-01,NL,cntry,environment,22
EB104.1,2025-10-01,NL,cntry,environment,18
EB105.2,2026-03-01,NL,cntry,environment,13
EB101.3,2024-04-01,PL,cntry,environment,9
EB102.2,2024-10-01,PL,cntry,environment,10
EB103.3,2025-03-01,PL,cntry,environment,6
EB104.1,2025-10-01,PL,cntry,environment,6
EB105.2,2026-03-01,PL,cntry,environment,6
EB101.3,2024-04-01,PT,cntry,environment,4
EB102.2,2024-10-01,PT,cntry,environment,5
EB103.3,2025-03-01,PT,cntry,environment,6
EB104.1,2025-10-01,PT,cntry,environment,3
EB105.2,2026-03-01,PT,cntry,environment,2
EB101.3,2024-04-01,RO,cntry,environment,5
EB102.2,2024-10-01,RO,cntry,environment,7.000000000000001
EB103.3,2025-03-01,RO,cntry,environment,7.000000000000001
EB104.1,2025-10-01,RO,cntry,environment,6
EB105.2,2026-03-01,RO,cntry,environment,5
EB101.3,2024-04-01,RS,cntry,environment,7.000000000000001
EB102.2,2024-10-01,RS,cntry,environment,15
EB103.3,2025-03-01,RS,cntry,environment,5
EB104.1,2025-10-01,RS,cntry,environment,5
EB105.2,2026-03-01,RS,cntry,environment,4
EB101.3,2024-04-01,SE,cntry,environment,35
EB102.2,2024-10-01,SE,cntry,environment,35
EB103.3,2025-03-01,SE,cntry,environment,26
EB104.1,2025-10-01,SE,cntry,environment,28.000000000000004
EB105.2,2026-03-01,SE,cntry,environment,26
EB101.3,2024-04-01,SI,cntry,environment,8
EB102.2,2024-10-01,SI,cntry,environment,7.000000000000001
EB103.3,2025-03-01,SI,cntry,environment,5
EB104.1,2025-10-01,SI,cntry,environment,4
EB105.2,2026-03-01,SI,cntry,environment,5
EB101.3,2024-04-01,SK,cntry,environment,6
EB102.2,2024-10-01,SK,cntry,environment,8
EB103.3,2025-03-01,SK,cntry,environment,6
EB104.1,2025-10-01,SK,cntry,environment,4
EB105.2,2026-03-01,SK,cntry,environment,2
EB101.3,2024-04-01,TR,cntry,environment,4
EB102.2,2024-10-01,TR,cntry,environment,2
EB103.3,2025-03-01,TR,cntry,environment,5
EB104.1,2025-10-01,TR,cntry,environment,2
EB105.2,2026-03-01,TR,cntry,environment,3
EB101.3,2024-04-01,UK,cntry,environment,10
EB102.2,2024-10-01,UK,cntry,environment,10
EB103.3,2025-03-01,UK,cntry,environment,4
EB104.1,2025-10-01,UK,cntry,environment,6
EB105.2,2026-03-01,UK,cntry,environment,6
EB101.3,2024-04-01,XK,cntry,environment,2
EB102.2,2024-10-01,XK,cntry,environment,3
EB103.3,2025-03-01,XK,cntry,environment,2
EB104.1,2025-10-01,XK,cntry,environment,3
EB105.2,2026-03-01,XK,cntry,environment,2
EB101.3,2024-04-01,AL,eu,environment,10
EB102.2,2024-10-01,AL,eu,environment,10
EB103.3,2025-03-01,AL,eu,environment,5
EB104.1,2025-10-01,AL,eu,environment,5
EB105.2,2026-03-01,AL,eu,environment,5
EB101.3,2024-04-01,AT,eu,environment,26
EB102.2,2024-10-01,AT,eu,environment,20
EB103.3,2025-03-01,AT,eu,environment,14.000000000000002
EB104.1,2025-10-01,AT,eu,environment,14.000000000000002
EB105.2,2026-03-01,AT,eu,environment,12
EB101.3,2024-04-01,BA,eu,environment,6
EB102.2,2024-10-01,BA,eu,environment,8
EB103.3,2025-03-01,BA,eu,environment,7.000000000000001
EB104.1,2025-10-01,BA,eu,environment,6
EB105.2,2026-03-01,BA,eu,environment,9
EB101.3,2024-04-01,BE,eu,environment,22
EB102.2,2024-10-01,BE,eu,environment,18
EB103.3,2025-03-01,BE,eu,environment,10
EB104.1,2025-10-01,BE,eu,environment,10
EB105.2,2026-03-01,BE,eu,environment,6
EB101.3,2024-04-01,BG,eu,environment,8
EB102.2,2024-10-01,BG,eu,environment,7.000000000000001
EB103.3,2025-03-01,BG,eu,environment,8
EB104.1,2025-10-01,BG,eu,environment,7.000000000000001
EB105.2,2026-03-01,BG,eu,environment,4
EB101.3,2024-04-01,CY,eu,environment,7.000000000000001
EB102.2,2024-10-01,CY,eu,environment,6
EB103.3,2025-03-01,CY,eu,environment,4
EB104.1,2025-10-01,CY,eu,environment,4
EB105.2,2026-03-01,CY,eu,environment,4
EB101.3,2024-04-01,CY(TCC),eu,environment,4
EB102.2,2024-10-01,CY(TCC),eu,environment,5
EB103.3,2025-03-01,CY_TCC,eu,environment,12
EB104.1,2025-10-01,CY_TCC,eu,environment,4
EB105.2,2026-03-01,CY_TCC,eu,environment,8
EB101.3,2024-04-01,CZ,eu,environment,9
EB102.2,2024-10-01,CZ,eu,environment,10
EB103.3,2025-03-01,CZ,eu,environment,4
EB104.1,2025-10-01,CZ,eu,environment,8
EB105.2,2026-03-01,CZ,eu,environment,6
EB101.3,2024-04-01,D-E,eu,environment,12
EB102.2,2024-10-01,D-E,eu,environment,9
EB101.3,2024-04-01,D-W,eu,environment,18
EB102.2,2024-10-01,D-W,eu,environment,12
EB101.3,2024-04-01,DE,eu,environment,17
EB102.2,2024-10-01,DE,eu,environment,11
EB103.3,2025-03-01,DE,eu,environment,8
EB104.1,2025-10-01,DE,eu,environment,9
EB105.2,2026-03-01,DE,eu,environment,8
EB101.3,2024-04-01,DK,eu,environment,33
EB102.2,2024-10-01,DK,eu,environment,38
EB103.3,2025-03-01,DK,eu,environment,17
EB104.1,2025-10-01,DK,eu,environment,18
EB105.2,2026-03-01,DK,eu,environment,14.000000000000002
EB101.3,2024-04-01,EE,eu,environment,6
EB102.2,2024-10-01,EE,eu,environment,6
EB103.3,2025-03-01,EE,eu,environment,4
EB104.1,2025-10-01,EE,eu,environment,5
EB105.2,2026-03-01,EE,eu,environment,4
EB101.3,2024-04-01,EL,eu,environment,13
EB102.2,2024-10-01,EL,eu,environment,12
EB103.3,2025-03-01,EL,eu,environment,9
EB104.1,2025-10-01,EL,eu,environment,9
EB105.2,2026-03-01,EL,eu,environment,6
EB101.3,2024-04-01,ES,eu,environment,11
EB102.2,2024-10-01,ES,eu,environment,8
EB103.3,2025-03-01,ES,eu,environment,5
EB104.1,2025-10-01,ES,eu,environment,4
EB105.2,2026-03-01,ES,eu,environment,3
EB101.3,2024-04-01,EU,eu,environment,16
EB102.2,2024-10-01,EU,eu,environment,15
EB103.3,2025-03-01,EU,eu,environment,10
EB104.1,2025-10-01,EU,eu,environment,9
EB105.2,2026-03-01,EU,eu,environment,8
EB101.3,2024-04-01,FI,eu,environment,20
EB102.2,2024-10-01,FI,eu,environment,25
EB103.3,2025-03-01,FI,eu,environment,10
EB104.1,2025-10-01,FI,eu,environment,14.000000000000002
EB105.2,2026-03-01,FI,eu,environment,11
EB101.3,2024-04-01,FR,eu,environment,19
EB102.2,2024-10-01,FR,eu,environment,17
EB103.3,2025-03-01,FR,eu,environment,12
EB104.1,2025-10-01,FR,eu,environment,11
EB105.2,2026-03-01,FR,eu,environment,8
EB101.3,2024-04-01,GE,eu,environment,11
EB102.2,2024-10-01,GE,eu,environment,9
EB103.3,2025-03-01,GE,eu,environment,7.000000000000001
EB104.1,2025-10-01,GE,eu,environment,6
EB105.2,2026-03-01,GE,eu,environment,5
EB101.3,2024-04-01,HR,eu,environment,11
EB102.2,2024-10-01,HR,eu,environment,11
EB103.3,2025-03-01,HR,eu,environment,10
EB104.1,2025-10-01,HR,eu,environment,8
EB105.2,2026-03-01,HR,eu,environment,5
EB101.3,2024-04-01,HU,eu,environment,15
EB102.2,2024-10-01,HU,eu,environment,14.000000000000002
EB103.3,2025-03-01,HU,eu,environment,10
EB104.1,2025-10-01,HU,eu,environment,11
EB105.2,2026-03-01,HU,eu,environment,7.000000000000001
EB101.3,2024-04-01,IE,eu,environment,18
EB102.2,2024-10-01,IE,eu,environment,18
EB103.3,2025-03-01,IE,eu,environment,7.000000000000001
EB104.1,2025-10-01,IE,eu,environment,9
EB105.2,2026-03-01,IE,eu,environment,6
EB101.3,2024-04-01,IT,eu,environment,14.000000000000002
EB102.2,2024-10-01,IT,eu,environment,16
EB103.3,2025-03-01,IT,eu,environment,12
EB104.1,2025-10-01,IT,eu,environment,10
EB105.2,2026-03-01,IT,eu,environment,10
EB101.3,2024-04-01,LT,eu,environment,8
EB102.2,2024-10-01,LT,eu,environment,7.000000000000001
EB103.3,2025-03-01,LT,eu,environment,5
EB104.1,2025-10-01,LT,eu,environment,5
EB105.2,2026-03-01,LT,eu,environment,3
EB101.3,2024-04-01,LU,eu,environment,13
EB102.2,2024-10-01,LU,eu,environment,11
EB103.3,2025-03-01,LU,eu,environment,7.000000000000001
EB104.1,2025-10-01,LU,eu,environment,9
EB105.2,2026-03-01,LU,eu,environment,8
EB101.3,2024-04-01,LV,eu,environment,5
EB102.2,2024-10-01,LV,eu,environment,5
EB103.3,2025-03-01,LV,eu,environment,3
EB104.1,2025-10-01,LV,eu,environment,5
EB105.2,2026-03-01,LV,eu,environment,1
EB101.3,2024-04-01,MD,eu,environment,6
EB102.2,2024-10-01,MD,eu,environment,6
EB103.3,2025-03-01,MD,eu,environment,4
EB104.1,2025-10-01,MD,eu,environment,4
EB105.2,2026-03-01,MD,eu,environment,3
EB101.3,2024-04-01,ME,eu,environment,10
EB102.2,2024-10-01,ME,eu,environment,11
EB103.3,2025-03-01,ME,eu,environment,6
EB104.1,2025-10-01,ME,eu,environment,3
EB105.2,2026-03-01,ME,eu,environment,12
EB101.3,2024-04-01,MK,eu,environment,5
EB102.2,2024-10-01,MK,eu,environment,7.000000000000001
EB103.3,2025-03-01,MK,eu,environment,6
EB104.1,2025-10-01,MK,eu,environment,6
EB105.2,2026-03-01,MK,eu,environment,4
EB101.3,2024-04-01,MT,eu,environment,13
EB102.2,2024-10-01,MT,eu,environment,15
EB103.3,2025-03-01,MT,eu,environment,9
EB104.1,2025-10-01,MT,eu,environment,10
EB105.2,2026-03-01,MT,eu,environment,7.000000000000001
EB101.3,2024-04-01,NL,eu,environment,35
EB102.2,2024-10-01,NL,eu,environment,35
EB103.3,2025-03-01,NL,eu,environment,14.000000000000002
EB104.1,2025-10-01,NL,eu,environment,16
EB105.2,2026-03-01,NL,eu,environment,10
EB101.3,2024-04-01,PL,eu,environment,10
EB102.2,2024-10-01,PL,eu,environment,12
EB103.3,2025-03-01,PL,eu,environment,7.000000000000001
EB104.1,2025-10-01,PL,eu,environment,7.000000000000001
EB105.2,2026-03-01,PL,eu,environment,7.000000000000001
EB101.3,2024-04-01,PT,eu,environment,9
EB102.2,2024-10-01,PT,eu,environment,11
EB103.3,2025-03-01,PT,eu,environment,10
EB104.1,2025-10-01,PT,eu,environment,7.000000000000001
EB105.2,2026-03-01,PT,eu,environment,5
EB101.3,2024-04-01,RO,eu,environment,10
EB102.2,2024-10-01,RO,eu,environment,10
EB103.3,2025-03-01,RO,eu,environment,9
EB104.1,2025-10-01,RO,eu,environment,8
EB105.2,2026-03-01,RO,eu,environment,5
EB101.3,2024-04-01,RS,eu,environment,7.000000000000001
EB102.2,2024-10-01,RS,eu,environment,11
EB103.3,2025-03-01,RS,eu,environment,8
EB104.1,2025-10-01,RS,eu,environment,7.000000000000001
EB105.2,2026-03-01,RS,eu,environment,7.000000000000001
EB101.3,2024-04-01,SE,eu,environment,49
EB102.2,2024-10-01,SE,eu,environment,43
EB103.3,2025-03-01,SE,eu,environment,25
EB104.1,2025-10-01,SE,eu,environment,26
EB105.2,2026-03-01,SE,eu,environment,21
EB101.3,2024-04-01,SI,eu,environment,12
EB102.2,2024-10-01,SI,eu,environment,10
EB103.3,2025-03-01,SI,eu,environment,6
EB104.1,2025-10-01,SI,eu,environment,5
EB105.2,2026-03-01,SI,eu,environment,4
EB101.3,2024-04-01,SK,eu,environment,9
EB102.2,2024-10-01,SK,eu,environment,8
EB103.3,2025-03-01,SK,eu,environment,9
EB104.1,2025-10-01,SK,eu,environment,8
EB105.2,2026-03-01,SK,eu,environment,4
EB101.3,2024-04-01,TR,eu,environment,13
EB102.2,2024-10-01,TR,eu,environment,8
EB103.3,2025-03-01,TR,eu,environment,8
EB104.1,2025-10-01,TR,eu,environment,6
EB105.2,2026-03-01,TR,eu,environment,4
EB101.3,2024-04-01,UK,eu,environment,12
EB102.2,2024-10-01,UK,eu,environment,14.000000000000002
EB103.3,2025-03-01,UK,eu,environment,5
EB104.1,2025-10-01,UK,eu,environment,7.000000000000001
EB105.2,2026-03-01,UK,eu,environment,5
EB101.3,2024-04-01,XK,eu,environment,5
EB102.2,2024-10-01,XK,eu,environment,4
EB103.3,2025-03-01,XK,eu,environment,5
EB104.1,2025-10-01,XK,eu,environment,7.000000000000001
EB105.2,2026-03-01,XK,eu,environment,4
EB101.3,2024-04-01,AL,pers,environment,3
EB102.2,2024-10-01,AL,pers,environment,2
